"practice_code","practice_name","postcode","subicb_code","imd_score","imd_decile"
"A81054","THE SALTSCAR SURGERY","TS10 1UA","16C",30.341896124031,3
"A81056","MELROSE SURGERY","TS23 2JW","16C",23.8087303600655,5
"A81057","KINGSWAY MEDICAL CENTRE","TS23 2LS","16C",25.9220684497817,4
"A81058","COULBY MEDICAL PRACTICE","TS8 0TL","16C",28.4706349433381,4
"A81060","THE KOH PRACTICE","TS26 8DB","16C",33.1085307054644,2
"A81063","THE HEADLAND MEDICAL CENTRE","TS24 0NZ","16C",37.4532339852862,2
"A81064","THE DISCOVERY PRACTICE","TS1 2NX","16C",46.4878399837684,1
"A81065","THE ESTON SURGERY","TS6 6TD","16C",47.7821117848669,1
"A81066","PARK LANE SURGERY","TS21 1JS","16C",15.8602843195856,7
"A81067","ALMA MEDICAL CENTRE","TS18 2BP","16C",40.4642486141441,1
"A81070","MCKENZIE GROUP PRACTICE","TS25 3DQ","16C",31.7959544439482,3
"A81602","DR RASOOL","TS23 2DG","16C",21.5148507718696,5
"A81608","ELM TREE SURGERY","TS17 6PG","16C",37.9304841450463,2
"A81610","THE ROSEBERRY PRACTICE","TS23 2DG","16C",23.1944085404716,5
"A81611","PARKWAY MEDICAL CENTRE","TS8 0TL","16C",27.236399447999,4
"A81612","THE PATEL PRACTICE","TS25 1AX","16C",23.3994161927972,5
"A81618","HUNTCLIFF SURGERY","TS12 1BJ","16C",20.4701051045016,6
"A81621","THORNTREE SURGERY","TS3 9NB","16C",66.7669911397503,1
"A81622","GLADSTONE HOUSE SURGERY","TS26 8DF","16C",40.339316892725,1
"A81629","RIVERSIDE MEDICAL PRACTICE","TS18 2AP","16C",37.5837664174581,2
"A81630","FOUNDATIONS","TS5 4EQ","16C",57.8411452513967,1
"A81631","WEST VIEW MILLENIUM SURGERY A","TS24 9LJ","16C",35.786548877522,2
"A81633","FOUNDATIONS -HARRIS STREET","TS1 5EF","16C",61.0829007731959,1
"A81634","THE ARRIVAL PRACTICE","TS18 2EP","16C",54.7101177101968,1
"A82003","ULVERSTON HEALTH CENTRE (MURRAY)","LA12 7BT","01K",14.7315676817462,8
"A82004","ALSTON MEDICAL PRACTICE","CA9 3QX","01H",20.001686440678,6
"A82005","AMBLESIDE HEALTH CENTRE","LA22 9BP","01K",12.58573802589,9
"A82006","APPLEBY MEDICAL PRACTICE","CA16 6QR","01H",15.7590658468862,7
"A82007","DUKE STREET SURGERY","LA14 1LF","01K",35.5335019483183,2
"A82008","NORWOOD MEDICAL CENTRE","LA14 5ES","01K",32.1536050077111,3
"A82009","BRIDGEGATE MEDICAL CENTRE","LA13 9SH","01K",32.9468175298805,2
"A82010","ABBEY ROAD SURGERY","LA14 2LB","01K",26.5217218807621,4
"A82012","BRAMPTON MEDICAL PRACTICE","CA8 1NL","01H",14.0185049421408,8
"A82013","UPPER EDEN MEDICAL PRACTICE","CA17 4RB","01H",20.6287503743636,6
"A82014","CALDBECK SURGERY","CA7 8DS","01H",17.6774201183432,7
"A82015","WARWICK ROAD SURGERY","CA1 1EB","01H",27.7690444150444,4
"A82016","CARLISLE HEALTHCARE","CA1 1DG","01H",22.5003781091834,5
"A82018","SPENCER ST SURGERY","CA1 1BP","01H",23.2727982892691,5
"A82019","FUSEHILL MEDICAL PRACTICE","CA1 2HE","01H",24.7193855838065,4
"A82020","EDEN MEDICAL GROUP","CA2 7AJ","01H",24.7214604560588,4
"A82021","CASTLEGATE AND DERWENT SURGERY","CA13 9HT","01H",13.4442135817239,8
"A82022","DALSTON MEDICAL GROUP","CA5 7PZ","01H",14.7139834840739,8
"A82023","DISTINGTON SURGERY","CA14 5UR","01H",23.6492456173421,5
"A82024","SEASCALE HEALTH CENTRE","CA20 1PN","01H",14.5140884635282,8
"A82025","CAPTAIN FRENCH SURGERY","LA9 4JE","01K",14.3385460009246,8
"A82026","THE JAMES COCHRANE PRACT.","LA9 7HR","01K",12.4539683162685,9
"A82027","STATION HOUSE SURGERY","LA9 6SA","01K",13.5529093561368,8
"A82028","CASTLEHEAD MEDICAL CENTRE","CA12 4DB","01H",12.6805521574206,9
"A82029","THE CROFT SURGERY","CA7 5JH","01H",18.8184881820835,6
"A82030","LUNESDALE SURGERY","LA6 2HQ","01K",11.5666132060951,9
"A82031","SHAP MEDICAL PRACTICE","CA10 3LW","01H",15.6945755441741,7
"A82032","MARYPORT HEALTH SERVICES","CA15 8EL","01H",30.2160292372268,3
"A82033","WATERLOO HOUSE SURGERY","LA18 4BY","01K",27.2315048279277,4
"A82035","BIRBECK MEDICAL GROUP","CA11 8HW","01H",14.8604285814263,8
"A82036","THE LAKES MEDICAL PRACTICE","CA11 8HW","01H",14.6872759910247,8
"A82037","SILLOTH GROUP MEDICAL PRACTICE","CA7 4AH","01H",24.4236984601241,5
"A82038","TEMPLE SOWERBY MEDICAL PRACTICE","CA10 1RW","01H",15.7837250613246,7
"A82039","DALTON SURGERY","LA15 8AB","01K",19.3737801458856,6
"A82041","LOWTHER MEDICAL CENTRE","CA28 7RG","01H",27.6314936258524,4
"A82044","FELLVIEW HEALTHCARE","CA22 2BD","01H",25.9007887231601,4
"A82045","WIGTON GROUP MEDICAL PRACTICE","CA7 9QD","01H",19.0931700359389,6
"A82046","WINDERMERE HEALTH CENTRE","LA23 2EG","01K",12.2881414486159,9
"A82047","JAMES STREET GROUP PRACT","CA14 2DL","01H",29.4388641557342,3
"A82053","NUTWOOD MEDICAL PRACTICE","LA11 7DJ","01K",11.4978493186243,9
"A82055","ASPATRIA MEDICAL GROUP","CA7 3HH","01H",22.1354617750439,5
"A82058","QUEEN STREET MEDICAL PRACTICE","CA28 7BA","01H",24.7862832143679,4
"A82062","ATKINSON HEALTH CENTRE","LA14 2LB","01K",38.1612673521851,2
"A82064","WESTCROFT HOUSE SURGERY","CA22 2DB","01H",21.5521083852805,5
"A82068","ULVERSTON COMMUNITY HEALTH CENTRE","LA12 7BT","01K",15.6835263509006,7
"A82070","ST. MARY'S SURGERY","LA23 1BA","01K",12.39004390625,9
"A82071","BURNETT EDGAR MEDICAL CTR","LA14 3HY","01K",27.5182184716362,4
"A82072","RISEDALE SURGERY","LA14 2LB","01K",34.3012063953488,2
"A82075","MANSION HOUSE SURGERY","CA28 7BU","01H",28.8201435685828,3
"A82077","LIVERPOOL HOUSE SURGERY","LA13 9QY","01K",30.8849845065034,3
"A82608","SEDBERGH MEDICAL PRACTICE","LA10 5DL","01K",15.509281903068,7
"A82613","WRAYSDALE HOUSE SURGERY","LA21 8ER","01K",14.1607904015671,8
"A82617","KIRKOSWALD SURGERY","CA10 1DQ","01H",14.2000456909361,8
"A82620","GLENRIDDING HEALTH CENTRE","CA11 0PD","01H",17.5707156970362,7
"A82629","THE FAMILY PRACTICE","LA14 5SL","01K",38.3554289940828,2
"A82631","COURT THORN SURGERY","CA4 0HP","01H",14.6809901823282,8
"A82646","LONGTOWN MEDICAL CENTRE","CA6 5XA","01H",30.7973058293438,3
"A82647","CARTMEL SURGERY","LA11 6PH","01K",11.6941022311022,9
"A82650","HAVERTHWAITE SURGERY","LA12 8QF","01K",15.4049463778409,7
"A82651","DUDDON VALLEY MEDICAL PRACTICE","LA17 7TE","01K",15.2446843322818,8
"A82654","WARWICK SQUARE GROUP PRACTICE","CA1 1LB","01H",24.8206549286556,4
"A83001","ST ANDREW'S MEDICAL PRACTICE","DL16 6QA","84H",26.5227689144737,4
"A83003","WILLINGTON MEDICAL GROUP","DL15 0EQ","84H",34.8219880642361,2
"A83005","WHINFIELD MEDICAL PRACTICE","DL1 3RT","16C",25.9113253362112,4
"A83006","ORCHARD COURT SURGERY","DL3 6HZ","16C",25.8275121297086,4
"A83007","BLACKHALL AND PETERLEE PRACTICE","TS27 4LQ","84H",39.7399320164444,2
"A83008","HALLGARTH SURGERY","DL4 2HP","84H",42.2797325560538,1
"A83009","BRIDGE END SURGERY","DH3 3SL","84H",20.345632407637,6
"A83010","MOORLANDS SURGERY","DL3 9JP","16C",22.8387060691081,5
"A83011","CLAYPATH & UNIVERSITY MEDICAL GROUP","DH1 1QW","84H",10.5871891052616,9
"A83012","WILLIAM BROWN CENTRE","SR8 5TW","84H",38.7077919534476,2
"A83013","NEASHAM ROAD SURGERY","DL1 4YL","16C",34.1844153418124,2
"A83014","BELMONT & SHERBURN MEDICAL GROUP","DH1 2QW","84H",18.8036938366718,6
"A83015","STATION VIEW MEDICAL CENTRE","DL14 6AB","84H",32.2116601601602,3
"A83016","TANFIELD VIEW MEDICAL GROUP","DH9 8AD","84H",32.3583451473694,3
"A83018","CONSETT MEDICAL CENTRE","DH8 5YA","84H",22.7787062296188,5
"A83020","NORTH HOUSE SURGERY","DL15 9HU","84H",29.8458331352155,3
"A83021","AUCKLAND MEDICAL GROUP","DL14 6RP","84H",31.9158532808224,3
"A83022","THE MEDICAL GROUP","DH7 8NH","84H",25.4901833878795,4
"A83023","STANLEY MEDICAL GROUP","DH9 0AB","84H",33.7059609026285,2
"A83024","WEST RAINTON SURGERY","DH4 6RQ","84H",27.0964518491395,4
"A83025","BISHOPGATE MEDICAL CENTRE","DL14 7EJ","84H",35.9473391923631,2
"A83026","SACRISTON MEDICAL CENTRE","DH7 6JW","84H",23.9879560836502,5
"A83027","COXHOE MEDICAL PRACTICE","DH6 4DH","84H",19.471315521258,6
"A83028","MIDDLE CHARE MEDICAL GROUP","DH3 3QD","84H",20.1649753191489,6
"A83029","GREAT LUMLEY SURGERY","DH3 4LE","84H",16.3903121477162,7
"A83030","DUNELM MEDICAL PRACTICE","DH7 7DG","84H",21.0161713822056,6
"A83031","CARMEL MEDICAL PRACTICE","DL3 8SQ","16C",16.8800310271372,7
"A83032","WOODVIEW MEDICAL PRACTICE","DL13 5AF","84H",25.3966309992132,4
"A83033","PELTON & FELLROSE MEDICAL GROUP","DH2 1HS","84H",25.7529286426593,4
"A83034","BLACKETTS MEDICAL PRACTICE","DL3 7JR","16C",25.9278850170815,4
"A83035","THE WEARDALE PRACTICE","DL13 2XD","84H",19.6357227695296,6
"A83036","CHASTLETON MEDICAL GROUP","DH1 5BH","84H",9.61065740656127,10
"A83037","BEWICK CRESCENT SURGERY","DL5 5LH","84H",24.4068392004116,5
"A83038","CEDARS MEDICAL GROUP","NE16 6HU","84H",18.0210251712329,7
"A83040","CLIFTON COURT MEDICAL PRACTICE","DL1 5JN","16C",33.6674959006001,2
"A83041","MURTON MEDICAL CENTRE","SR7 9AB","84H",32.0258506511499,3
"A83043","OLD FORGE SURGERY","DL12 0QE","84H",19.1063781818182,6
"A83044","THE HORDEN GROUP PRACTICE","SR8 4LD","84H",42.8548692005242,1
"A83045","FERRYHILL AND CHILTON MEDICAL PRACTICE","DL17 8JJ","84H",33.8179705960973,2
"A83046","BARNARD CASTLE SURGERY","DL12 8HT","84H",15.0647815353084,8
"A83047","DENMARK STREET SURGERY","DL3 0PD","16C",30.3411189994122,3
"A83048","ROCKLIFFE COURT SURGERY","DL2 2DS","16C",11.4381992147491,9
"A83049","QUEENS ROAD SURGERY","DH8 0BW","84H",20.5228648412858,6
"A83050","CESTRIA HEALTH CENTRE","DH2 3DJ","84H",19.4338707670499,6
"A83051","MARLBOROUGH SURGERY","SR7 7JE","84H",28.6615864592016,3
"A83052","BISHOPS CLOSE MEDICAL PRACTICE","DL16 6ED","84H",27.1935526916058,4
"A83054","SKERNE MEDICAL GROUP","TS21 3BN","84H",20.393439044429,6
"A83055","CHEVELEY PARK MEDICAL CTR","DH1 2UW","84H",12.0754129970073,9
"A83057","EAST DURHAM MEDICAL GROUP","TS28 5PZ","84H",39.389163374531,2
"A83060","PINFOLD MEDICAL PRACTICE","DL13 5NX","84H",22.2938708263069,5
"A83061","GAINFORD SURGERY","DL2 3BE","84H",13.8012216450216,8
"A83066","JUBILEE MEDICAL GROUP","DL5 4SE","84H",32.0776310636004,3
"A83070","ST GEORGE'S MEDICAL PRACTICE","DL2 1BY","16C",10.8046289473684,9
"A83071","THE NEW SEAHAM MEDICAL GROUP","SR7 8DY","84H",27.6379900864796,4
"A83072","LANCHESTER MEDICAL CENTRE","DH7 0LP","84H",13.5703926380368,8
"A83073","DRS LAMBERT & NG","DH9 7XT","84H",33.25161646508,2
"A83074","PEASE WAY MEDICAL CENTRE","DL5 5NH","84H",29.116956008316,3
"A83075","BYRON MEDICAL PRACTICE","SR7 8LF","84H",30.5588264365098,3
"A83610","WINGATE MEDICAL PRACTICE INTRAHEALTH","TS28 5PZ","84H",33.7303017533067,2
"A83616","BEVAN MEDICAL GROUP","DH6 2LQ","84H",39.3087155270117,2
"A83617","BROWNEY HOUSE SURGERY","DH7 9YT","84H",22.3883689547582,5
"A83618","OAKFIELDS HEALTH GROUP","NE17 7SB","84H",24.254759569378,5
"A83619","SOUTHDENE MEDICAL CENTRE","DH6 2LT","84H",40.6379201378914,1
"A83622","THE HAVEN SURGERY","DH7 0BD","84H",25.4582305882353,4
"A83626","EVENWOOD MEDICAL PRACTICE","DL14 9SU","84H",32.216461212976,3
"A83627","SILVERDALE FAMILY PRACTICE","DH6 2TH","84H",35.5643780130293,2
"A83634","WEST CORNFORTH MEDICAL CENTRE","DL17 9LH","84H",36.9088189593728,2
"A83635","BOWBURN MEDICAL CENTRE","DH6 5AL","84H",19.9559236178468,6
"A83636","LEADGATE SURGERY","DH8 6DP","84H",25.8687435215947,4
"A83637","VILLAGES MEDICAL GROUP","DH2 2NJ","84H",32.1355903863845,3
"A83641","PARKGATE SURGERY","DL1 5LW","16C",37.5833071247892,2
"A83644","ANNFIELD PLAIN SURGERY","DH9 7TD","84H",33.282597461213,2
"A84002","THE ROTHBURY PRACTICE","NE65 7UW","00L",16.7580539322091,7
"A84005","BEDLINGTONSHIRE MED.GROUP","NE22 6JX","00L",23.3035677302333,5
"A84006","ALNWICK MEDICAL GROUP","NE66 2NL","00L",14.8020158201058,8
"A84007","PONTELAND MEDICAL GROUP","NE20 9SD","00L",9.07302428612086,10
"A84008","BELFORD MEDICAL PRACTICE","NE70 7ER","00L",21.48309835336,5
"A84009","RAILWAY MEDICAL GROUP","NE24 1HD","00L",36.8057999849923,2
"A84011","WHITE MEDICAL GROUP","NE20 9SD","00L",8.58870724458204,10
"A84013","THE GABLES MEDICAL GROUP","NE22 7DU","00L",30.4565563583815,3
"A84014","MARINE MEDICAL GROUP","NE24 1DX","00L",34.332274964728,2
"A84016","PRUDHOE MEDICAL GROUP","NE42 5PW","00L",13.3406212624585,8
"A84018","CORBRIDGE HEALTH CENTRE","NE45 5LG","00L",10.3110677023945,9
"A84020","GUIDEPOST MEDICAL GROUP","NE62 5RA","00L",26.7538181931154,4
"A84022","COQUET MEDICAL GROUP","NE65 9SF","00L",23.8424597941595,5
"A84024","BURN BRAE MEDICAL GROUP","NE46 1QJ","00L",13.2558644910954,8
"A84025","CRAMLINGTON MEDICAL GROUP","NE23 6QN","00L",24.8276702789484,4
"A84026","WELL CLOSE MEDICAL GROUP","TD15 1LL","00L",22.181116237402,5
"A84027","BELLINGHAM PRACTICE","NE48 2HE","00L",17.9040410677618,7
"A84028","SEATON PARK MEDICAL GROUP","NE63 0NG","00L",32.9596501480855,2
"A84029","NORTHUMBERLAND HEALTH","NE61 5LX","00L",19.431484680694,6
"A84030","VILLAGE MEDICAL GROUP","NE23 6US","00L",21.8320691533087,5
"A84031","GREYSTOKE SURGERY","NE61 1JX","00L",13.9401516052319,8
"A84032",NA,"Unknown","UNK",20.1666381355932,6
"A84033","THE SELE MEDICAL PRACTICE","NE46 1QJ","00L",13.1935169131396,8
"A84034","HALTWHISTLE MEDICAL GROUP","NE49 9AP","00L",20.3632119633555,6
"A84035","RIVERSDALE SURGERY","NE42 5DQ","00L",12.1623087968312,9
"A84036","VALENS MEDICAL PARTNERSHIP","NE61 1BJ","00L",25.8813848542716,4
"A84037","NETHERFIELD HOUSE","NE23 7EF","00L",22.4719622798272,5
"A84038","FORUM FAMILY PRACTICE","NE23 6QN","00L",21.7046032452613,5
"A84039","GAS HOUSE LANE SURGERY","NE61 1JX","00L",14.3769813084112,8
"A84040","HUMSHAUGH & WARK MED GRP","NE46 4BU","00L",14.2577849139109,8
"A84042","SCOTS GAP MEDICAL GROUP","NE61 4EG","00L",16.122972261401,7
"A84044","UNION BRAE & NORHAM PRAC","TD15 2HB","00L",22.4960959378899,5
"A84045","HAYDON BRIDGE & ALLENDALE MEDICAL PRACT","NE47 6LA","00L",16.4084604728482,7
"A84047","BRANCH END SURGERY","NE43 7LL","00L",10.2151285528516,9
"A84604","WOOLER HEALTH","NE71 6BL","00L",20.0852160979878,6
"A84609",NA,"Unknown","UNK",9.2258023054755,10
"A84614","THE ADDERLANE SURGERY","NE42 5HR","00L",15.9393479591837,7
"A84619","ELSDON AVENUE SURGERY","NE25 0BW","00L",20.8178185987261,6
"A85001","FELL TOWER MEDICAL CENTRE","NE9 5EY","13T",20.8912533315741,6
"A85002","BENSHAM FAMILY PRACTICE","NE8 2XB","13T",33.6685434889435,2
"A85003",NA,"Unknown","UNK",20.4898670327842,6
"A85004","LONGRIGG MEDICAL CENTRE","NE10 8PH","13T",32.7783445156427,3
"A85005","OXFORD TCE & RAWLING RD MEDICAL GROUP","NE8 1RQ","13T",35.4453333333333,2
"A85006","GLENPARK MEDICAL CENTRE","NE11 9FJ","13T",25.6585208651955,4
"A85007","FELL COTTAGE SURGERY","NE9 5XY","13T",20.7433139650873,6
"A85008","BIRTLEY MEDICAL GROUP","DH3 2QT","13T",25.3873416223741,4
"A85009","CROWHALL MEDICAL CENTRE","NE10 9QG","13T",38.6109604893371,2
"A85010","CHAINBRIDGE MEDICAL PARTNERSHIP","NE21 5AE","13T",21.3215499779054,6
"A85011","ST. ALBANS MEDICAL GROUP","NE10 9QG","13T",40.3726038107753,1
"A85012","METRO INTERCHANGE SURGERY","NE8 1HR","13T",42.7815458396369,1
"A85013","MILLENNIUM FAMILY PRACTICE","NE8 1AD","13T",35.8426117710583,2
"A85014","CRAWCROOK MEDICAL CENTRE","NE40 4US","13T",14.6583456807987,8
"A85016","WREKENTON MEDICAL GROUP","NE9 7AD","13T",36.1499068887888,2
"A85017","BEWICK ROAD SURGERY","NE8 4DP","13T",33.7298841394826,2
"A85018","OLDWELL SURGERY","NE21 4RD","13T",25.4241522801303,4
"A85019","CENTRAL GATESHEAD MEDICAL GROUP","NE8 1NB","13T",36.8645780205292,2
"A85020","WHICKHAM COTTAGE MEDICAL CENTRE","NE16 4PD","13T",15.3088359737863,8
"A85021","SECOND STREET SURGERY","NE8 2UR","13T",34.8666709478551,2
"A85023","TEAMS MEDICAL PRACTICE","NE8 2PQ","13T",36.1110147316731,2
"A85024","CHOPWELL PRIMARY HEALTHCARE CENTRE","NE17 7BU","13T",35.3579128477905,2
"A85026","BEACON VIEW MEDICAL CENTRE","NE9 6YS","13T",33.3664846613546,2
"A85611","PELAW MEDICAL PRACTICE","NE10 0RR","13T",23.9721984934087,5
"A85614","THE BRIDGES MEDICAL PRACTICE","NE8 1AD","13T",34.9766166255144,2
"A85616","HOLLYHURST MEDICAL CENTRE","NE21 4RD","13T",19.9669325448971,6
"A85617","SUNNISIDE SURGERY","NE16 5LP","13T",15.4611801702829,7
"A85620",NA,"Unknown","UNK",16.6644928732183,7
"A86003","SAVILLE MEDICAL GROUP","NE5 4BS","13T",26.0337302769964,4
"A86004","PROSPECT MEDICAL CENTRE","NE4 8AY","13T",42.3466157503908,1
"A86005","WEST FARM SURGERY","NE12 8LS","99C",25.2393632414369,4
"A86006","ROSEWORTH SURGERY","NE3 1NB","13T",13.9919622467772,8
"A86007","AVENUE MEDICAL PRACTICE","NE2 1JQ","13T",10.3963412931668,9
"A86008","PARK MEDICAL GROUP","NE3 2PE","13T",21.8698243170862,5
"A86010","BIDDLESTONE HEALTH GROUP","NE6 5SL","13T",18.3656976932416,6
"A86011","WALKER MEDICAL GROUP","NE6 3BS","13T",51.7215798057541,1
"A86012","WEST ROAD MEDICAL CENTRE","NE4 9QB","13T",40.5738203727193,1
"A86013","DENTON PARK MEDICAL GROUP","NE5 2QW","13T",35.5718685402238,2
"A86016","LANE END SURGERY","NE7 7XX","99C",15.8781683913453,7
"A86017","CRUDDAS PARK SURGERY","NE4 7JT","13T",48.4445049356021,1
"A86018","THE GROVE MEDICAL GROUP","NE3 1NU","13T",11.067478942828,9
"A86020","THE SURGERY-OSBORNE ROAD","NE2 3LD","13T",9.83725909371147,10
"A86021","HOLMSIDE MEDICAL GROUP","NE4 8QB","13T",38.3526387559809,2
"A86022","PARKWAY MEDICAL GROUP","NE5 1LJ","13T",20.4807624405521,6
"A86023","BENFIELD PARK MEDICAL GROUP","NE6 4QD","13T",35.0526311976455,2
"A86024","HEATON ROAD SURGERY","NE6 1SA","13T",40.3790111970141,1
"A86025","WESTERHOPE MEDICAL GROUP","NE5 2LH","13T",40.6580872628348,1
"A86026","THROCKLEY PRIMARY CARE CENTRE","NE15 9PA","13T",29.0863980625931,3
"A86027","NEWCASTLE MEDICAL CENTRE","NE1 7XR","13T",22.7399639727891,5
"A86028","REGENT MEDICAL CENTRE","NE3 1DQ","13T",18.039476115721,7
"A86029","THORNFIELD MEDICAL GROUP","NE6 1SG","13T",38.1232507694636,2
"A86030","BETTS AVENUE MEDICAL GROUP","NE15 6TQ","13T",40.6899910065721,1
"A86031","FENHAM HALL SURGERY","NE4 9XD","13T",34.634350974359,2
"A86033","BRUNTON PARK","NE3 5NF","13T",10.5506308623298,9
"A86035",NA,"Unknown","UNK",18.055778366112,7
"A86036","GOSFORTH MEMORIAL MED.CTR","NE3 1TX","13T",13.5200168717375,8
"A86037","ELSWICK FAMILY PRACTICE","NE4 6SH","13T",50.173162637677,1
"A86038","NEWBURN SURGERY","NE15 8LX","13T",31.4381499738721,3
"A86040","ST. ANTHONY'S HEALTH CENTRE","NE6 2NN","13T",58.8084464755777,1
"A86041","SWARLAND AVENUE SURGERY","NE7 7TD","99C",16.7187212457601,7
"A86601","DENTON TURRET MEDICAL CENTRE","NE5 2UY","13T",31.7793890913232,3
"A87002","SPRING TERRACE HEALTH CENTRE","NE29 0HQ","99C",29.8556655994308,3
"A87003",NA,"Unknown","UNK",29.0833838286376,3
"A87004","COLLINGWOOD HEALTH GROUP","NE29 0SF","99C",27.2121911067517,4
"A87005","WHITLEY BAY HEALTH CENTRE","NE26 2ND","99C",13.3305710756972,8
"A87006","49 MARINE AVENUE SURGERY","NE26 1NA","99C",11.8941119836122,9
"A87007","FOREST HALL MEDICAL GROUP","NE12 9BQ","99C",21.9161095517609,5
"A87008","MARINE AVENUE MEDICAL CTR","NE26 3LW","99C",10.7345368867807,9
"A87009","PRIORY MEDICAL GROUP","NE29 0HT","99C",21.5195081631346,5
"A87011","BEAUMONT PARK SURGERY","NE25 9XJ","99C",9.70996921736605,10
"A87012","WIDEOPEN MEDICAL CENTRE","NE13 6LN","99C",21.7492712975098,5
"A87013","BEWICKE MEDICAL CENTRE","NE28 0AD","99C",32.3941309106365,3
"A87016","THE VILLAGE GREEN SURGERY","NE28 6BB","99C",27.8455295336788,4
"A87017","WOODLANDS PARK HEALTH CTR","NE13 6JJ","99C",15.9480740805604,7
"A87019","NELSON MEDICAL GROUP","NE29 0DZ","99C",30.9988229368462,3
"A87020","MONKSEATON MEDICAL CENTRE","NE25 9PH","99C",9.89339098673859,10
"A87022","NORTHUMBERLAND PARK MEDICAL GROUP","NE27 0HJ","99C",19.8319435194254,6
"A87023","BRIDGE MEDICAL","NE27 0HJ","99C",20.5005181210771,6
"A87029","HADRIAN HEALTH CENTRE","NE28 7LP","99C",29.5116054309813,3
"A87030","REDBURN PARK MEDICAL CENTRE","NE29 6HT","99C",44.1195735987428,1
"A87600","PARK PARADE PRACTICE","NE26 1DU","99C",14.1886263103803,8
"A87612","WELLSPRING MEDICAL PRACT.","NE12 6HS","99C",18.179581063341,7
"A87615","MALLARD MEDICAL PRACTICE","NE12 6HS","99C",18.4493994357114,6
